COUNTRY_ID;MEN;WOMEN;UPDATE_STATUS;UPDATE_TIME
BE;71.0;29.0;CONSTITUTIVE;
DK;62.0;38.0;CONSTITUTIVE;
DE;64.0;36.0;CONSTITUTIVE;
IE;45.0;55.0;CONSTITUTIVE;
FR;58.0;42.0;CONSTITUTIVE;
IT;60.0;40.0;CONSTITUTIVE;
LU;67.0;33.0;CONSTITUTIVE;
NL;58.0;42.0;CONSTITUTIVE;
UK;59.0;41.0;CONSTITUTIVE;
EL;76.0;24.0;CONSTITUTIVE;
ES;59.0;41.0;CONSTITUTIVE;
PT;62.0;38.0;CONSTITUTIVE;
SE;45.0;55.0;CONSTITUTIVE;
AT;56.0;44.0;CONSTITUTIVE;
FI;46.0;54.0;CONSTITUTIVE;
CZ;62.0;38.0;CONSTITUTIVE;
EE;50.0;50.0;CONSTITUTIVE;
CY;83.0;17.0;CONSTITUTIVE;
LT;91.0;9.0;CONSTITUTIVE;
LV;63.0;37.0;CONSTITUTIVE;
HU;81.0;19.0;CONSTITUTIVE;
MT;33.0;67.0;CONSTITUTIVE;
PL;76.0;24.0;CONSTITUTIVE;
SI;63.0;37.0;CONSTITUTIVE;
SK;69.0;31.0;CONSTITUTIVE;
BG;71.0;29.0;CONSTITUTIVE;
RO;69.0;31.0;CONSTITUTIVE;
HR;55.0;45.0;CONSTITUTIVE;
