PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
ES01;PARTY;20;SD;PROVISIONAL;2024-06-09 23:25
ES02;PARTY;22;EPP;PROVISIONAL;2024-06-09 23:25
ES03;PARTY;2;GREENSEFA;PROVISIONAL;2024-06-09 23:25
ES03;PARTY;1;Others;PROVISIONAL;2024-06-09 23:25
ES04;PARTY;2;Theleft;PROVISIONAL;2024-06-09 23:25
ES05;PARTY;6;ECR;PROVISIONAL;2024-06-09 23:25
ES06;PARTY;1;NI;PROVISIONAL;2024-06-09 23:25
ES07;PARTY;1;Theleft;PROVISIONAL;2024-06-09 23:25
ES07;PARTY;2;GREENSEFA;PROVISIONAL;2024-06-09 23:25
ES08;PARTY;1;Renew;PROVISIONAL;2024-06-09 23:25
ES11;PARTY;3;Others;PROVISIONAL;2024-06-09 23:25
