PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
BE01;PARTY;13.97;FINAL;2024-06-10 15:02
BE02;PARTY;14.5;FINAL;2024-06-10 15:02
BE03;PARTY;5.76;FINAL;2024-06-10 15:02
BE04;PARTY;8.34;FINAL;2024-06-10 15:02
BE05;PARTY;6.32;FINAL;2024-06-10 15:02
BE06;PARTY;7.99;FINAL;2024-06-10 15:02
BE07;PARTY;5.13;FINAL;2024-06-10 15:02
BE08;PARTY;7.43;FINAL;2024-06-10 15:02
BE09;PARTY;3.64;FINAL;2024-06-10 15:02
BE10;PARTY;12.62;FINAL;2024-06-10 15:02
BE11;PARTY;5.17;FINAL;2024-06-10 15:02
BE12;PARTY;1.05;FINAL;2024-06-10 15:02
BE13;PARTY;5.57;FINAL;2024-06-10 15:02
BE14;PARTY;0.21;FINAL;2024-06-10 15:02
BE15;PARTY;0.07;FINAL;2024-06-10 15:02
BE16;PARTY;0.08;FINAL;2024-06-10 15:02
BE17;PARTY;0.1;FINAL;2024-06-10 15:02
BE18;PARTY;0.07;FINAL;2024-06-10 15:02
BE90;PARTY;1.2;FINAL;2024-06-10 15:02
BE91;PARTY;0.71;FINAL;2024-06-10 15:02
BE92;PARTY;0.07;FINAL;2024-06-10 15:02
